,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10,Gene_11,Gene_12,Gene_13,Gene_14,Gene_15,Gene_16,Gene_17,Gene_18,Gene_19,Gene_20,Gene_21,Gene_22,Gene_23,Gene_24,Gene_25,Gene_26,Gene_27,Gene_28,Gene_29,Gene_30,Gene_31,Gene_32,Gene_33,Gene_34,Gene_35,Gene_36,Gene_37,Gene_38,Gene_39,Gene_40,Gene_41,Gene_42,Gene_43,Gene_44,Gene_45,Gene_46,Gene_47,Gene_48,Gene_49,Gene_50
Cell_219,1.5386,1.8488,0.9595,1.0585,0.9398,0.9605,1.4166,1.8053,0.1709,0.3136,4.1313,4.3366,4.4584,3.225,3.4424,1.9353,1.342,0.5879,0.6939,1.2733,1.7315,0.5807,0,0.7407,0.8238,0.7965,0.8383,0.8458,1.3572,0.9972,1.7679,1.1593,1.1562,1.3235,1.1113,0.725,0.5795,0.1759,1.3139,1.5218,0.6845,0.8264,2.0154,1.2019,0.5854,0.4836,0.9374,1.4242,1.2771,1.8394
Cell_220,0.5206,0.9136,1.3821,1.3408,0.7763,0.8795,1.0376,0.4752,1.2294,2.2798,4.1799,3.9412,4.1849,4.3895,4.1459,0.7967,0.8125,0.4473,1.5165,0.873,0.3381,1.5723,0.8354,1.3419,0.9769,0.5838,0.2326,1.2124,0.6647,0.8536,1.9425,1.4695,0.749,0.7394,1.7409,0.5203,1.2451,0.1894,1.5042,1.4654,0.7635,0.8369,1.2731,1.6641,1.459,1.1074,2.1677,0.8441,0.3309,0.7999
Cell_221,1.2466,1.1683,0.9538,1.5128,0.8108,1.0113,1.2969,1.3814,0.2059,0.5433,4.2314,3.5324,2.9786,3.755,3.3645,0.988,0.4235,0.6851,1.1834,0.7212,1.755,0.6343,0.7655,1.1414,0.9542,1.0145,1.2073,1.2101,0.3577,0.2862,1.7271,1.5467,0.527,0.5998,0.2885,0.9286,0.6362,0.733,0.2967,1.8282,0.5786,0.8339,1.4276,0.5788,0.4627,1.7846,0.2317,0.9082,1.2203,0.711
Cell_222,1.0651,1.488,0.5381,1.0395,1.345,2.1769,0.2767,1.4689,1.2439,1.0692,2.9208,4.024,5.0361,3.1844,3.7746,1.2249,0.3445,0.4721,0.5343,2.0643,0.5228,2.3009,1.7527,1.4891,1.1927,1.0322,0.6658,0.9867,0.3974,0.2901,1.0448,0.2438,0.5446,1.2535,0.7456,0.5783,0.3879,1.7921,0.9146,1.4124,0.8946,0.817,0.5541,1.1428,1.6852,1.071,1.1585,1.2365,0.742,1.3471
Cell_223,0.3939,0.3758,0.5091,1.148,1.2653,0.6755,1.4291,0.4375,1.6367,0.7994,4.7075,4.6917,5.2944,3.8486,4.1984,0.6317,0.7561,0.4335,0.5314,1.6053,0.6098,0.4133,0.8797,0.837,0.9183,0.3869,0.3754,1.51,1.1929,0.3809,0.7684,0.9429,1.5911,0.2661,1.6169,1.349,0.9004,1.3923,0.7258,0.576,0.8293,0.5751,1.8764,0.3841,1.5368,0.563,0.6055,0,0.8188,0.554
Cell_224,0.5092,0.8042,0.6657,1.3778,0.7723,0.8486,1.3601,1.2154,1.0904,0.555,3.5838,3.6789,3.5034,4.2958,3.8877,1.2179,1.0088,0.2623,0.6305,0.9488,1.8106,1.073,0,1.4113,1.9456,0.6816,1.4427,0.998,0.8298,0.9577,0,1.1841,0.7798,1.8872,0.9955,1.263,0.1918,0.7061,0.7178,1.2318,1.651,0.6743,0.2919,0.3316,1.4216,0.9299,1.2513,1.1424,0.7132,1.4225
Cell_225,0.9411,1.0775,1.236,1.7899,1.0999,0.9425,1.3881,1.0603,0.5099,0.7292,3.9567,4.5994,5.2988,4.3807,4.3468,0.9561,1.2105,1.0497,1.636,1.3934,1.4294,1.1693,0.5526,1.4069,1.6183,1.1278,1.1895,0.5112,0.8307,1.006,0.9442,0.6542,1.1543,1.2942,1.7096,1.8604,0.6481,1.2359,1.1649,1.0773,0.9497,1.268,0.8079,0.106,1.607,0.7954,1.1919,0.2018,0.1717,1.9861
Cell_226,1.2303,1.4202,0.826,1.2106,1.5269,0.5479,0,0.7444,0.7291,0.6585,1.3953,1.6398,1.5694,1.311,1.6492,3.292,3.9161,4.149,3.7873,4.5115,0.2552,0.3405,2.0847,0.8376,0.6438,1.5857,0.6937,0.9745,0.7682,1.5846,1.3204,0.6561,1.312,1.7554,1.4368,0.3472,0.4907,0.7434,0.4899,0.3181,0.6198,1.7013,0.8731,1.7716,0.9382,0.6452,0.6113,1.8002,1.2424,1.1215
Cell_227,1.6454,1.6652,1.1408,0.7577,1.7028,2.071,1.2775,1.0074,0.4649,0.6175,0.6188,1.2738,1.2117,0.3721,1.3704,3.342,3.4483,3.6709,4.593,4.3247,2.3612,0.3383,0.433,0.7667,0.3649,1.0313,1.3123,1.4155,1.5984,1.1101,1.7192,1.2655,0.6783,1.2604,0.8122,1.0525,1.3806,0.5425,0.9526,1.023,1.5842,0.9719,0.8863,0.2206,0.5868,0.7587,1.1844,1.553,1.4272,1.152
Cell_228,0,0.9426,0.2695,0.9663,0.3593,1.1448,0.262,0.8503,1.6903,1.0226,0.5955,0.6744,0.6713,1.3644,0.4122,4.4702,4.2813,4.311,2.512,4.4093,0.6595,0.384,0.5014,1.1038,1.2438,1.1672,1.249,1.0212,0.6933,2.0467,1.3701,0.0349,1.2525,0.7161,0.9258,1.2822,0.6576,1.3371,0.2678,0.9973,1.1626,1.2464,1.2871,1.6945,1.1206,0.8327,1.4984,0.287,1.122,1.427
Cell_229,1.1049,1.5752,0.9057,0.6367,1.7599,0.729,1.3173,1.741,1.6669,0.9192,0.6694,1.2622,0.6454,0.4938,1.4249,3.9072,3.6734,3.2923,4.0664,3.1638,1.5249,1.1915,0.8125,0.4535,0.4348,0.7969,1.263,1.3603,0.7002,1.1553,0.6868,0.6489,0.3045,1.0548,0.447,1.609,2.0899,0.7844,1.2556,0.4177,0.7796,0.7186,0.824,1.1505,0.1971,1.6582,1.785,0.3025,0.8904,1.0726
Cell_230,0.9042,1.5124,1.91,0.8718,1.4853,1.0911,0.6552,1.1846,0.8618,1.0603,0.0028,0.581,0.79,0.527,2.0416,2.7874,4.0736,4.8981,3.9442,4.4419,1.1616,0.758,0.7639,0.8817,0.8046,1.1505,0.6723,1.8045,1.7128,0.6676,1.5321,1.1577,0.5294,1.4053,1.3283,1.6818,1.4898,1.0491,0.936,1.1502,1.2826,0.1882,0.449,1.1876,1.4411,1.11,1.0359,0.8179,0.6588,0.9876
Cell_231,0.6817,0.8372,1.6048,0.8394,0.7727,1.0428,1.7754,0.7043,0,1.2621,0.9124,1.5312,0.6326,0.4025,1.7354,3.5503,4.3469,4.2792,4.8285,2.9577,1.0797,0.953,1.3012,0.9073,1.0508,1.128,1.2638,1.5779,1.7965,0.3279,1.2498,0.5272,0.2172,1.8589,1.4943,1.2544,0.1528,1.2392,0.9173,0.3477,0.7698,1.1011,0.3269,1.2693,0.1434,0.9889,1.1136,1.6729,1.2521,0.5218
Cell_232,0.9194,0.5891,2.0677,1.0083,0.3244,0.7271,0,1.0601,0.2674,0.8327,0.2365,0.9124,0.9812,1.2952,0.8718,3.0578,3.6668,4.5223,4.1835,5.0213,0.897,1.6692,1.4179,0.925,1.4632,0.2258,0.4465,1.2019,1.1739,0.5184,1.6737,1.0113,1.8291,0.6575,0.56,0.4402,1.3178,1.8127,1.7022,1.0972,1.4182,1.6159,1.2836,1.1985,1.1101,1.325,0.403,1.289,0.9662,1.2022
Cell_233,1.27,0.2392,1.9342,1.0787,0.9019,0.8258,1.4482,0.9795,1.5996,1.3108,1.3563,1.0322,1.7078,0,2.1048,2.4889,3.521,2.7967,2.5857,4.2929,0.8471,1.5605,0.9822,1.3954,0.7573,0.9593,0.969,0.4966,0.4227,0.1048,1.389,0.8699,1.03,0.5239,0.8473,1.334,0.8082,0.4577,0.9588,0.6647,1.0032,1.2981,0.3999,2.4117,1.227,0,0.7479,0.9572,1.3379,0.2269
Cell_234,0.6801,0.9479,0.7311,0.2435,1.5178,0.1855,1.5019,0.3066,0.5401,0.861,1.48,0.6013,0.3931,1.1459,0.7065,3.5742,3.5487,3.9863,3.4106,2.553,0.8735,1.0836,0.896,1.0305,1.3582,0.445,1.2155,1.2304,0.2117,1.5791,0.4974,0.2972,0.8353,2.2781,0.3813,2.3147,0.7954,0.5091,1.5049,0.3476,0.4339,1.6265,1.2595,0.9319,1.0797,2.1671,1.1872,0.6617,1.1799,1.5876
Cell_235,1.7326,0.6402,1.551,0.7605,1.6056,1.5715,0.9462,0.9716,1.3642,1.0618,0.2338,1.5154,1.7241,1.1431,1.2016,5.0788,4.7233,5.0333,3.7984,3.465,0.6411,0.573,1.2404,1.7084,0.6967,1.2072,0.9099,1.5927,0.98,0.9964,0.5687,1.0143,0.3958,1.7494,1.0896,1.2244,1.7558,0.7015,1.2827,0.7263,0.2537,2.3665,1.7402,1.2416,0.9811,1.1202,0.7533,1.2253,0.6183,1.3866
Cell_236,1.4414,1.1695,0.8184,0.9116,0.6834,0.3686,0.4569,0.3382,0.1796,0.9411,1.1189,0.7835,1.3212,1.145,2.0953,3.1021,4.3921,4.631,3.0514,3.6293,0.6708,1.1396,1.2557,0.4003,1.4586,1.5672,1.0033,1.1408,1.3812,1.3092,1.468,1.5761,1.705,0.6463,1.7816,1.4485,1.5665,0.6674,2.27,0.5346,0.3809,0.5247,0.4799,1.7302,1.6094,0.451,0.8147,0.5886,0.9224,1.7523
Cell_237,1.0153,0.1389,0.8063,1.2677,1.0682,1.4341,0.7689,1.0294,1.3028,1.7912,0.9772,1.7361,0.8363,0.5153,1.0902,4.202,3.6994,4.5581,3.7337,4.2786,1.1834,0.7451,1.1577,0.8603,0.6336,0.3516,1.0223,1.527,0.6156,1.0279,1.011,0.8248,1.5569,0.1947,1.3636,0.9787,0.6863,1.3552,1.005,1.3241,0.6517,1.5258,1.4205,0.9787,1.6361,1.3177,1.633,0.5698,1.4336,1.1181
Cell_238,0.9427,1.1988,0.8236,1.5089,1.7722,0.7006,2.1453,1.0402,0.5508,1.24,0.5618,0.8667,0.5741,1.3007,2.1916,3.8623,5.5495,5.5726,3.5419,4.524,1.6689,0.0101,0.9548,1.1108,0.5159,1.8457,1.8191,0.613,1.1606,0.8584,0.3724,0.4838,1.1368,1.1895,1.1999,1.1677,0.9365,0.5442,0.834,0.6658,1.5407,0.709,0.4812,1.9151,0.9368,1.252,1.7659,0.6807,0.2163,0.1938
Cell_239,0.8353,1.6708,1.6427,1.1297,1.4773,1.0725,0.4875,0.6629,0.837,0.353,0.2182,0.5116,1.4643,1.3009,1.3685,2.775,4.2093,3.8831,4.8603,4.0086,0.5952,1.4044,1.2219,1.06,0.9416,0.5026,0.2457,0.4414,0.6507,0.8436,1.3043,1.2112,0.4008,1.2348,1.5865,0.7778,0.3729,1.4177,1.5028,0.8969,1.8391,0.7817,1.5586,0.7271,0.5542,1.0733,1.3969,1.1131,1.3014,0.8865
Cell_240,0.8682,0.141,0.4007,0.8572,1.5165,0.3328,1.2116,1.2551,0.6438,1.1465,0.9488,1.2633,0.4614,0.0294,1.074,4.9975,3.9601,4.5918,2.7315,4.3432,0.9071,1.2928,1.6122,1.276,1.3543,1.2947,0.5206,0.2746,1.4954,0.7782,0.8876,0.6317,1.4322,1.1112,1.9834,0.2496,1.5692,1.3028,1.4293,1.6599,1.0589,0.9665,1.5642,0.8916,1.313,1.1531,1.2189,1.5227,1.2291,1.1461
Cell_241,1.0061,0.9926,0.9863,0.8682,0.9438,1.6079,0.8628,0.6281,0.8579,0.0943,1.9291,1.1471,2.1515,0.3169,1.7521,3.9592,4.4131,4.0911,4.4198,3.5215,0.775,1.285,0.6781,0,1.5455,0.6941,1.7488,1.3722,0.9019,1.0228,1.5041,0.409,1.3077,1.0347,0.8659,1.2206,0.8236,1.2408,2.1005,0.3763,1.1066,1.8057,0.6756,1.336,0.6351,0.7285,1.196,1.6226,1.9276,1.8387
Cell_242,0.4842,1.0797,1.0964,1.0214,0.7776,0.6359,0.8877,1.089,1.372,0.3459,1.0601,0.8847,1.2087,1.2694,1.4449,4.5566,4.0228,4.1087,2.8952,3.4615,1.2608,0.4859,0.5745,0.6674,0.961,0.9865,0.9535,1.0169,1.4521,1.2026,1.8828,0.4134,1.2542,1.069,0.9949,0.8885,1.1526,0.5572,1.1095,0.4233,1.1527,1.0782,0.5827,0.7998,1.2333,1.1331,0.6141,1.0586,0.902,0.87
Cell_243,1.2536,1.4224,1.0881,1.1755,1.0441,1.6317,1.0013,1.4569,0.323,0.4787,0.6235,1.4611,0.6236,0.3502,0.24,3.932,4.626,3.4308,4.2178,4.1189,0.5596,1.0372,0.9744,0.5825,1.5958,1.9569,1.1657,0.7125,0,0.2456,1.317,0.8208,2.2076,0.4306,1.7038,1.0736,1.0643,1.3556,0.9224,1.2293,0.7572,0.7823,0.2615,0.2001,1.773,0.8866,0.8435,0.8361,1.0571,0.5148
Cell_244,1.0481,1.1633,1.2564,0.0917,0.5653,0.279,0.933,1.1911,0.3072,1.5585,1.5571,0.9381,0.6907,0.7974,0.7766,5.0365,3.6067,3.8604,4.8236,3.8526,0.3492,0.4183,0.8746,1.0382,0.1583,0.926,0.9593,1.304,0.8037,0.7486,0.6284,1.1978,1.1101,1.2168,1.2561,0.6229,1.7294,1.1549,0.2028,1.2071,1.3889,1.2058,0,0.6776,0,1.3149,1.4294,0.3237,1.0134,0.7304
Cell_245,1.3257,1.1975,0,0.7528,0.5657,0.235,0.7287,0.4621,1.4248,1.2659,1.1715,1.4914,1.221,1.3766,2.1259,3.2329,4.0257,3.2654,3.0538,4.4701,1.3749,0.7667,0,0.9708,0.3294,1.2084,0.0971,0.3853,0.1686,0.9848,1.2371,0.9402,0.2584,1.3371,1.4046,0.5068,1.5532,1.3091,1.1609,1.2884,0.2036,0.8928,0.9832,1.6429,0.0981,1.4366,0.0098,0.607,1.4546,1.4196
Cell_246,1.069,0.2335,1.7097,0.944,1.0771,0.1177,0.8991,1.8124,1.5814,2.0326,0.906,1.4699,1.5106,0.6402,1.3778,4.4775,3.3034,3.7137,3.5868,3.2952,1.6781,2.1936,1.9783,1.5296,1.4197,0.0042,0.8952,2.4222,0.8235,0.761,1.0242,1.1968,2.1162,1.763,1.5065,0.662,0.7872,1.294,1.0925,0.7808,1.2663,0.9895,0.7889,0.6982,0.9752,1.2264,0.3429,1.1864,0.7715,1.04
Cell_247,0.98,0.8605,0.3798,1.3121,1.3639,0.6878,1.1306,0.4914,0.1914,0.8715,1.5059,0.3865,1.1381,0.8353,0.8598,3.8503,3.6087,3.9267,4.5467,4.3773,0.0839,1.4201,0.6273,0.638,0.7534,0,0.4067,0.4541,0.9793,1.4369,1.3902,0.3342,1.3699,0.7851,0.838,1.2832,1.2779,1.6157,0.5369,0.8721,1.1868,0.9183,1.1361,1.4293,1.1559,0.9465,1.9103,0.926,0.996,0.9254
Cell_248,1.2215,0.3727,0.4249,0.8183,1.4859,0.1281,0.8456,0.7965,0.5858,0.4629,0.8354,0.9626,0.8245,0.8004,0.2012,3.7667,4.0881,4.4476,4.2093,4.3548,0.788,1.0669,0.9962,0.7666,1.7671,1.7911,0.7813,0.5571,0.7982,1.783,0.9179,1.2171,1.8861,1.2462,0.8311,0.7661,1.8148,1.0853,1.4727,0.3359,1.0094,0.1827,1.1591,0.9542,1.1998,0.6052,0.2363,0.7742,1.084,0.2522
Cell_249,0.8717,0.5143,0.5875,0.6683,1.2646,1.0966,0.8817,1.5963,1.1537,0.4491,1.6252,1.0994,0.6189,0.8417,1.1664,3.8298,4.2317,4.6401,4.8899,3.7887,1.1749,1.3722,1.165,1.1857,1.3332,0.1922,0.3605,1.1836,0.9988,1.3612,0.9504,1.1384,0.0425,1.6852,1.8401,0.9452,1.2624,1.5633,0.6792,1.0634,0.4374,1.4983,1.3591,0.5845,0.3469,0.4685,1.1641,0.6122,1.3418,0.6027
Cell_250,0.8123,0.9181,0.9726,1.3614,0.6105,0.7826,0.8773,0.2379,1.545,1.6064,0.0829,0.8822,0.9028,0.6634,0.7817,3.6885,4.2375,3.4251,5.0437,3.3738,0.9944,0.9842,0.7884,1.439,0.9102,0.6983,0.7704,0.2817,1.3455,0.9674,1.4097,0.9199,0.8526,1.592,0.7597,1.8206,1.0626,0.8655,1.9854,0.596,1.0633,1.1611,0.316,1.938,1.5483,0.4104,0.8897,0.1595,1.096,1.6675
Cell_251,0.6294,0.8596,0.4606,0.6587,1.5478,0.5533,0.6728,0.637,0.8015,1.5476,1.2363,0.617,0.9361,1.6091,1.1448,3.0036,4.4267,3.6121,4.9209,4.3753,0.1999,0.7196,0.7802,0.8248,1.3344,0.8247,0.5396,0.9631,0.1093,1.2252,1.0596,0.8379,0.8604,1.5355,1.0456,0.9344,1.2879,1.037,1.1289,0.9955,0.8056,1.254,1.3453,0.0594,0.3106,0.9161,0.7525,1.5432,1.0181,0.6867
Cell_252,0.6068,1.2571,0.74,1.3349,0.4368,1.0621,1.2354,2.0231,1.8124,1.1218,1.1826,0.086,1.7523,1.4672,0,4.396,2.8857,4.1699,2.9534,4.3067,1.7305,1.1588,0.3668,1.0851,1.3702,1.2714,0.5172,1.0637,0.8621,0,0.1604,1.351,1.8182,1.0466,0.6606,1.2038,1.0799,2.0439,1.7972,0.449,0,0.1807,0.7969,0.6913,0.7898,1.4556,1.0933,1.0115,0.303,0.8427
Cell_253,1.1071,1.0093,0.6176,1.3345,0.3417,0,1.6832,1.2663,0.4621,1.1782,1.0725,1.6116,0.5581,1.5685,0,3.3042,3.2854,3.7629,4.3433,3.1858,0.4413,0.7357,0.5949,0.7168,0.5719,1.2131,1.3729,0.871,0.8042,0.5874,0.8877,1.5202,1.1066,1.227,1.3419,0.7965,1.0059,0.3722,0.7912,0.5243,0.6451,1.0585,0.9274,0.9715,0.7334,1.2015,0.9569,0.9832,0.3176,2.0693
Cell_254,1.1722,1.7277,0.3832,0.8998,1.3261,0,0.6384,1.1321,1.227,1.2883,1.3769,0.6035,0.6519,0.9627,0.6133,3.3678,4.7341,4.3604,2.7495,3.7344,1.645,0.7013,1.7593,0.825,0.4072,2.5354,1.237,0.9062,0.0045,1.1793,1.1755,0.9344,1.8276,1.2712,1.4422,1.2625,0.424,1.3261,1.2729,1.4755,1.119,0.7195,0.5614,0.8681,1.5001,0.7672,1.6379,1.3556,0.2088,0.8855
Cell_255,1.1827,0.7313,0.8427,0.6582,1.4815,0.9433,1.2335,0.7429,0.3631,1.9424,0,1.1458,0.952,2.1619,0.6929,4.1441,4.0302,3.5932,2.7507,3.9586,0.8302,0.6897,0.8429,1.4179,2.0925,1.5107,0.7597,0.5586,1.6047,1.0259,1.1955,1.3292,0.8462,1.2556,0.7425,1.365,0.8101,1.0829,1.1906,1.2046,0.0797,0.6118,0.329,1.0403,1.7717,0.6961,0.2254,1.3403,0,0.8656
Cell_256,0.7543,2.0254,0.6771,0.9806,1.3585,0.0742,1.5431,0.6574,0.9102,1.6741,0.8989,0.64,0.6813,0.8185,1.8433,4.8052,3.972,3.3032,3.1969,3.2064,1.343,1.1041,0.9457,1.5325,1.0039,0.3959,0.6109,0.6163,0,0.8614,1.8916,0.8147,1.6582,1.0385,1.2996,0.7848,1.1146,0.9417,0.9986,1.2899,1.0314,1.5305,1.0055,0.85,1.0034,1.0279,1.4016,0.908,1.4066,0.9172
Cell_257,0,1.5172,0.7451,0.4267,0.6983,0.1042,1.7636,0.9957,0.6421,1.0957,0.5446,1.5953,1.9059,1.6785,1.1791,3.7325,4.3829,4.8899,3.7911,5.4482,1.3714,1.0983,1.0548,1.0566,0,1.5834,0.9791,1.4994,1.1281,0.6697,1.0846,1.1807,0.7958,0.8335,1.0652,1.0725,1.041,0.6562,1.0988,1.0432,1.2256,1.054,1.1732,1.099,1.4753,1.184,0.9126,0,1.324,1.815
Cell_258,0.8295,1.0682,0.2878,0.4265,0.9755,1.7015,0.8616,1.0083,1.3273,0.8549,1.6865,0.9255,1.4352,0.7676,1.1872,4.244,4.1297,3.9702,3.0895,3.7266,0.6214,0.9457,0.6295,0.8652,2.0035,1.2862,0,0.6137,0.9059,1.1156,0.6929,1.6998,0.641,0.7613,1.0401,0.8516,1.2771,0,0.9782,0.6319,0.7013,1.624,0.4162,1.125,0.4861,0.2212,0.4646,1.2407,1.2239,0.038
Cell_259,0.6234,0.9495,0.1734,0.972,0.3904,0.6936,2.0642,1.5852,1.5836,1.8728,0.679,0.5778,0.9613,0.916,0.5551,3.6403,4.0209,2.5064,4.1712,3.4841,1.1991,1.5102,0,0.8784,0.9945,1.56,0.6467,0.812,1.2743,1.1557,0.6156,1.6608,2.0923,1.0778,1.4867,1.7389,1.5715,0.801,1.6739,0.766,1.1493,0.6436,1.0717,0.174,1.8517,0.2065,1.5128,1.2805,1.2809,1.1677
Cell_260,0.8052,0.2009,0.9263,1.5291,0.5733,0.5369,1.3571,0.1572,0.5559,0.9155,1.3172,1.8591,1.5496,0.295,1.2262,3.8308,3.6534,3.998,2.4317,3.5541,0.4487,1.6939,1.2509,0.2799,0.381,0.6593,1.3367,1.2546,0.4546,1.0067,0.7776,1.4197,0.5415,1.5245,0,1.4566,1.2201,1.1013,1.5945,0.8784,1.4545,0.6816,1.7593,1.1349,1.4494,0.0993,1.7537,1.5279,0.5253,1.6016
Cell_261,1.145,1.5025,0.3433,0.9711,1.2555,0.4859,0,1.4036,2.5541,1.7234,1.1446,1.4878,0.8637,1.0802,0.879,5.0912,2.7239,2.8058,4.4584,3.9457,1.7008,1.8703,1.0986,2.1949,1.0145,1.2338,0.808,0.6686,0.0829,0.5759,0.6133,1.2324,1.0542,0.9294,1.4024,0.9567,1.2858,0.351,1.8384,1.5185,0.5466,0.8855,0.5049,1.0586,1.2442,1.0656,0.4245,0.7417,0.8913,0.0979
Cell_262,1.2128,0.7195,0.5628,1.5369,0.6024,1.6957,1.2517,0.348,0.8986,0.6017,1.5392,1.2368,1.6466,1.4931,1.4139,4.3413,3.6397,3.5962,4.5073,3.0991,1.1935,1.1839,1.2099,0.891,0.663,0.3942,0.7175,0.8775,0.5406,1.9828,1.7026,1.4875,0.5314,0.839,1.0948,0.8688,0.8868,0.4815,0.1054,1.7002,1.4258,1.5084,0.9192,0.834,1.3176,1.6285,1.2019,1.298,1.3161,1.0597
Cell_263,0.654,0.7036,1.328,1.3877,0.4102,1.4188,0.2283,1.1753,0.816,1.5851,1.2693,1.4563,1.6704,0.9825,0.583,4.9683,3.9212,4.1497,4.4647,3.3266,1.2698,0.7864,0.6019,0.6822,0.899,1.466,0.8511,1.4125,1.6697,0.9667,0.9699,1.1065,0.7446,0.9351,2.0824,0.8051,0.7046,1.1094,0.7144,0.7478,0.7942,1.0307,1.8118,1.1141,0,1.1164,0.7732,0.6645,1.0475,1.3115
Cell_264,0.8732,0.9031,1.2325,0.5797,1.0988,1.3797,1.1843,0.9897,0.5575,1.6812,0.3905,1.2099,2.2999,0.5696,0.9259,4.7196,4.5515,3.0698,2.9512,5.346,0.4502,0.7504,1.5172,1.4243,1.1611,1.1894,0.6856,1.2649,1.0003,1.6907,1.4479,0.9303,0.9924,1.0287,1.3434,1.2867,0.876,1.3446,0.7614,0.8424,1.0428,0.6123,1.2261,0.7169,1.0376,0.2991,0.5461,0.7129,1.0,1.0994
Cell_265,0.4376,0.7059,1.6381,1.0163,0.3267,0.487,0.2045,1.0202,1.8321,1.4985,1.0454,1.3733,0.8859,1.4887,0.8411,4.4897,4.5122,5.1633,4.0332,3.451,0.5974,2.5796,0.428,1.0024,1.6746,0.9069,1.2141,1.0369,2.0074,0.7882,0.1132,1.1221,1.388,0.4467,1.027,0.928,0.7209,1.8983,1.1419,1.4692,1.3264,1.2995,1.6612,0.8101,1.0833,0.9862,1.0584,1.2762,1.578,1.408
Cell_266,1.4595,1.3703,0.9185,0.385,0.524,0.0556,0.5686,1.7101,0.6159,1.6398,0.3213,1.0174,1.0521,1.0981,0.7771,2.756,3.3095,4.118,4.4669,3.9152,1.3018,0.3199,1.0969,0.6985,0.9177,1.144,1.2123,0.2922,1.5547,1.2142,1.2625,1.1855,0.623,0.954,1.2911,0.8805,1.8595,0.9523,1.7255,0.5539,0.7503,1.1403,0.9118,1.7509,0.9465,1.4479,0.9034,1.4971,0.4738,0.4869
Cell_267,1.4153,0.5594,1.5297,1.199,0.5207,1.0083,1.6118,1.2141,0.6378,2.1755,0.6763,2.0568,1.1219,0.9594,1.2849,2.8819,3.2195,4.5004,3.519,4.5084,0.7372,1.5703,1.5857,1.2922,0.8289,1.2903,1.2095,0.91,1.291,0.1058,0.8383,1.0236,0.4317,0.9773,0.3049,0.7099,0.2886,0.2376,0.3163,0.9645,0.247,0.6483,0.1693,1.1279,0.1573,1.5047,0.8275,0.7082,1.1095,0.7586
Cell_268,0.1212,0.8271,0.2837,0.3268,0.9531,2.095,1.3178,1.221,1.091,2.104,1.0499,0.9126,0.8834,0.9072,0.3647,3.4394,4.0681,3.6267,4.3094,4.3137,1.0318,0.3792,1.2528,1.1817,1.2635,0.4769,0.1324,0.9102,0.9218,1.3014,1.4745,1.5742,1.2541,0.8779,1.6772,1.6003,0.5937,1.2959,1.4303,0.9444,0.6196,0.8121,0.5886,1.3148,1.4942,1.034,1.1914,1.0868,0,0.715
Cell_269,1.5608,1.6728,0.1116,0.5629,0.8318,0.862,1.1106,0.2921,1.5873,0.7915,0.8977,2.1193,0.7264,1.3454,0,5.2834,4.1947,3.4757,4.5748,3.5673,0.9592,0.8254,1.7949,0.8384,1.2974,0.814,0.3959,1.1842,0.748,1.0102,0.6509,1.0023,0.8533,0.8242,1.2302,1.163,0.7694,1.3711,0.9644,2.3655,1.1171,0.6651,0.628,0.3512,1.4571,1.2085,0.821,0.8195,0.6358,1.1347
Cell_270,1.3481,1.2447,1.0983,1.1127,1.7041,0.8142,1.5973,0.9496,1.9581,2.0672,1.9618,1.0247,1.1303,0.9311,1.0513,3.7667,4.4095,3.0239,3.8596,3.7056,0.7487,0.7888,0.9945,0.8321,0.7784,1.4477,0.7303,1.3816,0.0897,1.905,0.7581,1.2167,1.5033,0.3054,0.3504,0.9072,0.6107,2.1926,0.4858,1.239,1.2744,0.1815,0.6883,1.3322,0.6327,0.9473,1.1395,0.6103,0.9667,0.8314
Cell_271,0.6493,1.3661,0.8616,0.5728,0.8899,0.6528,0.409,1.4936,1.5121,1.2141,1.3777,1.149,0.3131,1.4896,0.7427,4.7545,4.1703,3.7364,4.823,3.7777,0.0511,0.1705,0.8133,1.3394,1.1288,1.206,0.6774,0.9193,0.5607,1.2974,0.9154,0.6489,1.8317,0.4642,0.2742,0.1983,1.0808,0.7534,0.3327,0.7928,0.749,1.2701,1.3213,0.3884,1.0272,1.6898,0.8569,0.7646,0.4604,0.7833
Cell_272,0.267,1.4091,0.5744,1.0875,1.4112,0.7361,1.0909,0.6063,1.5469,1.2477,0.6664,2.1593,1.1759,0.5534,0.2566,4.4306,4.5728,4.1845,3.9096,3.0186,0.2827,1.9185,1.0388,0.491,0.47,0.8541,0.5147,1.7367,1.0097,0.3634,0.9904,1.4458,1.9992,0.1487,0.7027,0.6815,0.8623,0.6596,1.7894,0.4215,1.0343,0.7005,1.0421,0.7031,0.7661,0.4869,0.9603,0.8003,0.7079,1.7317
Cell_273,0.2621,1.8696,1.1898,1.2123,1.0604,1.7791,0.4011,0.9556,1.1047,1.0343,1.1953,0.5006,1.4583,0.9522,1.3499,3.6203,3.2574,3.7387,4.7916,3.25,0.8131,0.753,0.2522,0.8816,0.3568,1.371,1.1198,0.7373,1.1143,1.2221,0.4568,2.3279,1.4323,0.2023,0.7796,0.972,1.1105,1.1072,0.5843,2.0265,1.5331,1.147,1.6886,0.9014,0.3864,0.2717,0.4402,1.4003,0.9302,1.1681
